Longitud;Latitud;Metros;Precio;Preciom2
-70,6751785;-33,4297333;65;2600;40
-70,6648712;-33,4342422;64;2750;42,96875
-70,6370926;-33,4429321;160;7250;45,3125
-70,6498566;-33,4657516;50;2390;47,8
-70,6503601;-33,4379196;54;2600;48,14814815
-70,6625137;-33,4522629;47;2300;48,93617021
-70,6369324;-33,4387207;76;3895;51,25
-70,6533051;-33,4334145;52;2690;51,73076923
-70,670517;-33,4480324;50;2670;53,4
-70,6299;-33,4554;70;4000;57,14285714
-70,6415405;-33,4498672;61;3590;58,85245902
-70,6640701;-33,4553604;77;4690;60,90909091
-70,6309662;-33,4531593;45;2800;62,22222222
-70,6337357;-33,4440193;36;2300;63,88888889
-70,6339493;-33,4441223;46;2950;64,13043478
-70,6547623;-33,4489326;70;4500;64,28571429
-70,6468506;-33,4483032;45;2900;64,44444444
-70,6339493;-33,4529114;36;2340;65
-70,6472244;-33,4494743;23;1500;65,2173913
-70,6350861;-33,4476547;55;3600;65,45454545
-70,6640701;-33,4553604;71;4790;67,46478873
-70,6440277;-33,4437752;38;2600;68,42105263
-70,646553;-33,4484787;54;3750;69,44444444
-70,6320343;-33,4490013;37;2620;70,81081081
-70,6589966;-33,4358978;30;2250;75
-70,6531143;-33,4497643;30;2300;76,66666667
-73,1360612;-36,8774451;29,19;2300;78,79410757
-70,6320343;-33,4490013;37;3090;83,51351351
-70,6399612;-33,4480476;40;22000;550
-70,6533051;-33,4592896;40;25000;625
-70,648544;-33,4366658;40;25000;625
-70,6452789;-33,445652;40;25000;625
-70,6554718;-33,450592;48;30000;625
-70,654129;-33,4535158;35;25000;714,2857143
-70,6606674;-33,4360085;35;30000;857,1428571
-70,6330261;-33,4458427;32;30000;937,5
-70,6478618;-33,4370606;36;36000;1000
-70,6369;-33,437;403;469095;1164,007444
-70,6689;-33,4549;52;102091;1963,288462
-70,65119;-33,46292;108;290000;2685,185185
-70,63919;-33,44909;115;310000;2695,652174
-70,64137;-33,46655;92;250000;2717,391304
-70,63396;-33,45451;88;300000;3409,090909
-70,65445;-33,47123;68;250000;3676,470588
-70,65917;-33,44334;72;290000;4027,777778
-70,6349;-33,4494;65;280000;4307,692308
-70,66683;-33,43015;80;360000;4500
-70,65582;-33,43793;45;220000;4888,888889
-70,5915;-33,6023;55;280000;5090,909091
-70,65567;-33,44931;95;500000;5263,157895
-70,64107;-33,45086;50;270000;5400
-70,65777;-33,45035;60;330000;5500
-70,65795;-33,43722;100;550000;5500
-70,64986;-33,46575;40;220000;5500
-70,661;-33,47127;65;360000;5538,461538
-70,6485;-33,45085;80;450000;5625
